,Date,Content,Cleaned Text,Result
53,2022-07-07 18:35:47+00:00,$SKL move up soon.,"['skl', 'move', 'soon']",['1']
54,2022-07-07 18:34:20+00:00,"Over the last two years, the dominance of #Tether has been in macro decline.$USDT has fallen from 88.3% of the stablecoin market, to 45.2% today, now less than half of the market.$USDC dominance has grown 4.2x,  $BUSD by 7.5x, and $DAI by 3.9x over the same 2y timeframe.","['last', 'two', 'year', 'dominance', 'tether', 'macro', 'declineusdt', 'fallen', '883', 'stablecoin', 'market', '452', 'today', 'le', 'half', 'marketusdc', 'dominance', 'grown', '42x', 'busd', '75x', 'dai', '39x', '2y', 'timeframe']",['2']
55,2022-07-06 14:14:52+00:00,Binance Launches Zero-Fee Bitcoin Trading https://www.binance.com/en/support/announcement/10435147c55d4a40b64fcbf43cb46329,"['binance', 'launch', 'zerofee', 'bitcoin', 'trading', 'httpswwwbinancecomensupportannouncement10435147c55d4a40b64fcbf43cb46329']",['2']
56,2022-07-06 14:14:29+00:00,"Despite weak price-action through June, #Bitcoin has been withdrawn from exchanges at the most aggressive rate in history.Total exchange outflows in June peak at -151k BTC/month, with Shrimp and Whales as main receivers.","['despite', 'weak', 'priceaction', 'june', 'bitcoin', 'withdrawn', 'exchange', 'aggressive', 'rate', 'historytotal', 'exchange', 'outflow', 'june', 'peak', '151k', 'btcmonth', 'shrimp', 'whale', 'main', 'receiver']",['2']
57,2022-07-05 07:44:06+00:00,Binance Will Support the Filecoin (FIL) and Elrond (EGLD) Network UpgradesDetails,"['binance', 'support', 'filecoin', 'fil', 'elrond', 'egld', 'network', 'upgradesdetails']",['2']
58,2022-07-02 09:29:11+00:00,🧐,['🧐'],['1']
59,2022-07-02 09:05:40+00:00,Crypto hedge fund Three Arrows files for chapter 15 bankruptcyhttps://www.bloomberg.com/news/articles/2022-07-01/crypto-hedge-fund-three-arrows-files-for-chapter-15-bankruptcy,"['crypto', 'hedge', 'fund', 'three', 'arrow', 'file', 'chapter', '15', 'bankruptcyhttpswwwbloombergcomnewsarticles20220701cryptohedgefundthreearrowsfilesforchapter15bankruptcy']",['2']
60,2022-07-01 20:44:59+00:00,Buying some $SKL as well.,"['buying', 'skl', 'well']",['1']
61,2022-07-01 19:29:17+00:00,Buying some $OCEAN here!,"['buying', 'ocean', 'here']",['1']
62,2022-07-01 08:10:14+00:00,$MASK updateBreakout confirmed. Soon go above 2 dollar.,"['mask', 'updatebreakout', 'confirmed', 'soon', 'go', '2', 'dollar']",['1']
63,2022-07-01 08:07:09+00:00,"Whales (>1k $BTC) typically go through accumulation / distribution cycles, often aligned with #Bitcoin market structure.These entities are also adding to their balance aggressively, acquiring 140k $BTC/month directly from exchangesWhales now own 8.69M $BTC (45.6% Supply).","['whale', '1k', 'btc', 'typically', 'go', 'accumulation', 'distribution', 'cycle', 'often', 'aligned', 'bitcoin', 'market', 'structurethese', 'entity', 'also', 'adding', 'balance', 'aggressively', 'acquiring', '140k', 'btcmonth', 'directly', 'exchangeswhales', '869m', 'btc', '456', 'supply']",['2']
64,2022-06-29 20:15:33+00:00,$MASK is on the edge of the major breakout 👀,"['mask', 'edge', 'major', 'breakout', '👀']",['1']
65,2022-06-29 16:17:25+00:00,"Amazy breaks all record’s passing the mark of 800,000 giveaway participant!  1️⃣ Giveaway extended until June 3 2️⃣ Added 100 extra NFT sneakers and total prize poll is now 600 piece’s   ➡️ JOIN AMAZY GIVEAWAY: https://gleam.io/KbEos/amazy-giveaway/  3 main…","['amazy', 'break', 'record’s', 'passing', 'mark', '800000', 'giveaway', 'participant', '1️⃣', 'giveaway', 'extended', 'june', '3', '2️⃣', 'added', '100', 'extra', 'nft', 'sneaker', 'total', 'prize', 'poll', '600', 'piece’s', '➡️', 'join', 'amazy', 'giveaway', 'httpsgleamiokbeosamazygiveaway', '3', 'main…']",['2']
66,2022-06-29 11:57:00+00:00,"The number of addresses holding at least one #Bitcoin has reached a new all-time high of 873,043.","['number', 'address', 'holding', 'least', 'one', 'bitcoin', 'reached', 'new', 'alltime', 'high', '873043']",['2']
67,2022-06-29 08:46:10+00:00,Bitcoin’s correlation with the tech-focused Nasdaq 100 has declined in June after hitting a multi-year high of .8 in May,"['bitcoin’s', 'correlation', 'techfocused', 'nasdaq', '100', 'declined', 'june', 'hitting', 'multiyear', 'high', '8', 'may']",['2']
68,2022-06-28 08:16:52+00:00,$QI +41%,"['qi', '41']",['2']
69,2022-06-27 14:02:25+00:00,"Digital asset investment products saw outflows totalling $423m last week, the largest since records began by a wide margin.The outflows occurred on 17th June but were reflected in last week’s figures due to trade reporting lags, and likely responsible for Bitcoin’s decline to US$17,760 that weekend.","['digital', 'asset', 'investment', 'product', 'saw', 'outflow', 'totalling', '423m', 'last', 'week', 'largest', 'since', 'record', 'began', 'wide', 'marginthe', 'outflow', 'occurred', '17th', 'june', 'reflected', 'last', 'week’s', 'figure', 'due', 'trade', 'reporting', 'lag', 'likely', 'responsible', 'bitcoin’s', 'decline', 'us17760', 'weekend']",['2']
70,2022-06-27 09:18:19+00:00,$MASK is now can buy.,"['mask', 'buy']",['1']
71,2022-06-27 08:19:10+00:00,"Koi Network (KOI) token sale to be held via Huobi Primelist on June 30thSale Hard Cap is $200,000. Sale Price is 1 KOI = $0.025. Tokens Allocated is 8,000,000 KOI. KOI token will be listed on Huobi Global right after the public sale on June 30th, 13:00 UTC.https://twitter.com/koimetaverse/status/1540376907950092289?s=21&t=owLq1jmr6YwrOiVRVXOcug","['koi', 'network', 'koi', 'token', 'sale', 'held', 'via', 'huobi', 'primelist', 'june', '30thsale', 'hard', 'cap', '200000', 'sale', 'price', '1', 'koi', '0025', 'token', 'allocated', '8000000', 'koi', 'koi', 'token', 'listed', 'huobi', 'global', 'right', 'public', 'sale', 'june', '30th', '1300', 'utchttpstwittercomkoimetaversestatus1540376907950092289s21towlq1jmr6ywroivrvxocug']",['2']
72,2022-06-26 14:22:37+00:00,$MASK is now can buy.,"['mask', 'buy']",['1']
73,2022-06-26 13:33:59+00:00,Buy the dip $SRM,"['buy', 'dip', 'srm']",['1']
74,2022-06-26 13:27:13+00:00,$MASK,['mask'],['1']
75,2022-06-26 12:44:02+00:00,"$SRM gonna hit $1,3 in the next IMO","['srm', 'gonna', 'hit', '13', 'next', 'imo']",['1']
76,2022-06-26 12:26:00+00:00,Buying $SRM here!,"['buying', 'srm', 'here']",['1']
77,2022-06-26 12:11:35+00:00,$OP is on the way 😎,"['op', 'way', '😎']",['1']
78,2022-06-26 09:26:49+00:00,$OOKI,['ooki'],['2']
79,2022-06-26 09:22:02+00:00,$GLMR boom incoming 🔥,"['glmr', 'boom', 'incoming', '🔥']",['1']
80,2022-06-26 09:15:47+00:00,$OP still can buy.,"['op', 'still', 'buy']",['1']
81,2022-06-26 08:27:58+00:00,$GAL already +20%,"['gal', 'already', '20']",['2']
82,2022-06-26 08:02:13+00:00,$JASMY I'm still bullish on it. I think it gonna pop soon!,"['jasmy', 'im', 'still', 'bullish', 'it', 'think', 'gonna', 'pop', 'soon']",['1']
83,2022-06-26 07:18:14+00:00,$GLMR just getting started. Much more to come!,"['glmr', 'getting', 'started', 'much', 'come']",['1']
84,2022-06-26 07:16:44+00:00,$QI +33%,"['qi', '33']",['2']
85,2022-06-25 22:01:27+00:00,#ETH on the edge of the breakout!,"['eth', 'edge', 'breakout']",['1']
86,2022-06-25 21:53:32+00:00,$OP is going to 72 cent 👀,"['op', 'going', '72', 'cent', '👀']",['1']
87,2022-06-25 18:25:55+00:00,$GLMR no new low and already reversed Should be pumped to $1,"['glmr', 'new', 'low', 'already', 'reversed', 'pumped', '1']",['1']
88,2022-06-25 16:56:10+00:00,The $BLZ pump incoming 🔥,"['blz', 'pump', 'incoming', '🔥']",['1']
89,2022-06-25 15:12:40+00:00,$GLMR is a buy.,"['glmr', 'buy']",['1']
90,2022-06-25 13:21:57+00:00,"$BLZ is pretty strong here, should move up 😎","['blz', 'pretty', 'strong', 'here', 'move', '😎']",['1']
91,2022-06-25 12:52:20+00:00,$BLZ buying some.,"['blz', 'buying', 'some']",['1']
92,2022-06-25 09:47:53+00:00,$TRB dip is for buying.,"['trb', 'dip', 'buying']",['1']
93,2022-06-25 08:56:56+00:00,$ICP another breakout 🚀,"['icp', 'another', 'breakout', '🚀']",['1']
94,2022-06-25 08:55:41+00:00,$QI already +20%,"['qi', 'already', '20']",['2']
95,2022-06-24 21:31:52+00:00,$LINA almost +20%,"['lina', 'almost', '20']",['2']
96,2022-06-24 21:12:34+00:00,$TRB seems ready to take off 🚀,"['trb', 'seems', 'ready', 'take', '🚀']",['1']
97,2022-06-24 21:04:23+00:00,$SOL is moving nicely. Already +36% from entry!,"['sol', 'moving', 'nicely', 'already', '36', 'entry']",['2']
98,2022-06-24 18:21:39+00:00,With only $30m mcap $TRB will go up +100% easily.,"['30m', 'mcap', 'trb', 'go', '100', 'easily']",['1']
99,2022-06-24 18:10:55+00:00,Bitcoin realized 30d volatility hits 12-month high,"['bitcoin', 'realized', '30d', 'volatility', 'hit', '12month', 'high']",['2']
